,name,pokedex_number,type1,type2,abilities,hp,atk,def,sp_atk,sp_def,speed,height(in),height(m),weight(lbs),weight(kg)
487,Metagross,376,Steel,Psychic,"['Clear Body', 'Light Metal', 'Tough Claws']",80,135,130,95,90,70,"5'03""
","1.6 m
","1212.5 lbs.
","550.0 kg
"
488,Metang,375,Steel,Psychic,"['Clear Body', 'Light Metal']",60,75,100,55,80,50,"3'11""
","1.2 m
","446.4 lbs.
","202.5 kg
"
489,Metapod,11,Bug,Unknown,['Shed Skin'],50,20,55,25,25,30,"2'04""
","0.7 m
","21.8 lbs.
","9.9 kg
"
490,Mew,151,Psychic,Unknown,['Synchronize'],100,100,100,100,100,100,"1'04""
","0.4 m
","8.8 lbs.
","4.0 kg
"
491,Mewtwo,150,Psychic,Unknown,"['Pressure', 'Unnerve', 'Steadfast', 'Insomnia']",106,110,90,154,90,130,"6'07""
","2.0 m
","269.0 lbs.
","122.0 kg
"
492,Mienfoo,619,Fighting,Unknown,"['Inner Focus', 'Regenerator', 'Reckless']",45,85,50,55,50,65,"2'11""
","0.9 m
","44.1 lbs.
","20.0 kg
"
493,Mienshao,620,Fighting,Unknown,"['Inner Focus', 'Regenerator', 'Reckless']",65,125,60,95,60,105,"4'07""
","1.4 m
","78.3 lbs.
","35.5 kg
"
494,Mightyena,262,Dark,Unknown,"['Intimidate', 'Quick Feet', 'Moxie']",70,90,70,60,60,70,"3'03""
","1.0 m
","81.6 lbs.
","37.0 kg
"
495,Milcery,868,Fairy,Unknown,"['Sweet Veil', 'Aroma Veil']",45,40,40,50,61,34,"0'08""
","0.2 m
","0.7 lbs.
","0.3 kg
"
496,Milotic,350,Water,Unknown,"['Marvel Scale', 'Competitive', 'Cute Charm']",95,60,79,100,125,81,"20'04""
","6.2 m
","357.1 lbs.
","162.0 kg
"
497,Miltank,241,Normal,Unknown,"['Thick Fat', 'Scrappy', 'Sap Sipper']",95,80,105,40,70,100,"3'11""
","1.2 m
","166.4 lbs.
","75.5 kg
"
498,Mime Jr.,439,Psychic,Fairy,"['Soundproof', 'Filter', 'Technician']",20,25,45,70,90,60,"2'00""
","0.6 m
","28.7 lbs.
","13.0 kg
"
499,Mimikyu,778,Ghost,Fairy,['Disguise'],55,90,80,50,105,96,"0'08""
","0.2 m
","1.5 lbs.
","0.7 kg
"
500,Minccino,572,Normal,Unknown,"['Cute Charm', 'Technician', 'Skill Link']",55,50,40,40,40,75,"1'04""
","0.4 m
","12.8 lbs.
","5.8 kg
"
501,Minior,774,Rock,Flying,['Shields Down'],60,60,100,60,100,60,"1'00""
","0.3 m
","88.2 lbs.
","40.0 kg
"
502,Minun,312,Electric,Unknown,"['Minus', 'Volt Absorb']",60,40,50,75,85,95,"1'04""
","0.4 m
","9.3 lbs.
","4.2 kg
"
503,Misdreavus,200,Ghost,Unknown,['Levitate'],60,60,60,85,85,85,"2'04""
","0.7 m
","2.2 lbs.
","1.0 kg
"
504,Mismagius,429,Ghost,Unknown,['Levitate'],60,60,60,105,105,105,"2'11""
","0.9 m
","9.7 lbs.
","4.4 kg
"
505,Moltres,146,Fire,Flying,"['Pressure', 'Berserk', 'Flame Body']",90,100,90,125,85,90,"6'07""
","2.0 m
","132.3 lbs.
","60.0 kg
"
506,Monferno,391,Fire,Fighting,"['Blaze', 'Iron Fist']",64,78,52,78,52,81,"2??1""
","0.9 m
","48.5 lbs.
","22.0 kg
"
507,Morelull,755,Grass,Fairy,"['Illuminate', 'Effect Spore', 'Rain Dish']",40,35,55,65,75,15,"0'08""
","0.2 m
","3.3 lbs.
","1.5 kg
"
508,Morgrem,860,Dark,Fairy,"['Prankster', 'Frisk', 'Pickpocket']",65,60,45,75,55,70,"2'07""
","0.8 m
","27.6 lbs.
","12.5 kg
"
509,Morpeko,877,Electric,Dark,['Hunger Switch'],58,95,58,70,58,97,"1'00""
","0.3 m
","6.6 lbs.
","3.0 kg
"
510,Mothim,414,Bug,Flying,"['Swarm', 'Tinted Lens']",70,94,50,94,50,66,"2'11""
","0.9 m
","51.4 lbs.
","23.3 kg
"
511,Mr. Mime,122,Psychic,Fairy,"['Soundproof', 'Filter', 'Vital Spirit', 'Screen Cleaner', 'Technician', 'Ice Body']",40,45,65,100,120,90,"4'03""
","1.3 m
","120.2 lbs.
","54.5 kg
"
512,Mr. Rime,866,Ice,Psychic,"['Tangled Feet', 'Screen Cleaner', 'Ice Body']",80,85,75,110,100,70,"4'11""
","1.5 m
","128.3 lbs.
","58.2 kg
"
513,Mudbray,749,Ground,Unknown,"['Own Tempo', 'Stamina', 'Inner Focus']",70,100,70,45,55,45,"3'03""
","1.0 m
","242.5 lbs.
","110.0 kg
"
514,Mudkip,258,Water,Unknown,"['Torrent', 'Damp']",50,70,50,50,50,40,"1'04""
","0.4 m
","16.8 lbs.
","7.6 kg
"
515,Mudsdale,750,Ground,Unknown,"['Own Tempo', 'Stamina', 'Inner Focus']",100,125,100,55,85,35,"8'02""
","2.5 m
","2028.3 lbs.
","920.0 kg
"
516,Muk,89,Poison,Unknown,"['Stench', 'Sticky Hold', 'Poison Touch', 'Gluttony', 'Poison Touch', 'Power of Alchemy']",105,105,75,65,100,50,"3'11""
","1.2 m
","66.1 lbs.
","30.0 kg
"
517,Munchlax,446,Normal,Unknown,"['Pickup', 'Thick Fat', 'Gluttony']",135,85,40,40,85,5,"2'00""
","0.6 m
","231.5 lbs.
","105.0 kg
"
518,Munna,517,Psychic,Unknown,"['Forewarn', 'Synchronize', 'Telepathy']",76,25,45,67,55,24,"2'00""
","0.6 m
","51.3 lbs.
","23.3 kg
"
519,Murkrow,198,Dark,Flying,"['Insomnia', 'Super Luck', 'Prankster']",60,85,42,85,42,91,"1'08""
","0.5 m
","4.6 lbs.
","2.1 kg
"
520,Musharna,518,Psychic,Unknown,"['Forewarn', 'Synchronize', 'Telepathy']",116,55,85,107,95,29,"3'07""
","1.1 m
","133.4 lbs.
","60.5 kg
"
521,Naganadel,804,Poison,Dragon,['Beast Boost'],73,73,73,127,73,121,"11'10""
","3.6 m
","330.7 lbs.
","150 kg
"
522,Natu,177,Psychic,Flying,"['Synchronize', 'Early Bird', 'Magic Bounce']",40,50,45,70,45,70,"0'08""
","0.2 m
","4.4 lbs.
","2.0 kg
"
523,Necrozma,800,Psychic,Unknown,['Prism Armor'],97,107,101,127,89,79,"7'10""
","2.4 m
","507.1 lbs.
","230.0 kg
"
524,Nickit,827,Dark,Unknown,"['Run Away', 'Unburden', 'Stakeout']",40,28,28,47,52,50,"2'00""
","0.6 m
","19.6 lbs.
","8.9 kg
"
525,Nidoking,34,Poison,Ground,"['Poison Point', 'Rivalry', 'Sheer Force']",81,92,77,85,75,85,"4'07""
","1.4 m
","136.7 lbs.
","62.0 kg
"
526,Nidoqueen,31,Poison,Ground,"['Poison Point', 'Rivalry', 'Sheer Force']",90,82,87,75,85,76,"4'03""
","1.3 m
","132.3 lbs.
","60.0 kg
"
527,Nidoran?�,29,Poison,Unknown,"['Poison Point', 'Rivalry', 'Hustle']",55,47,52,40,40,41,"1'04""
","0.4 m
","15.4 lbs.
","7.0 kg
"
528,Nidoran??32,Poison,Unknown,"['Poison Point', 'Rivalry', 'Hustle']",46,57,40,40,40,50,"1'08""
","0.5 m
","19.8 lbs.
","9.0 kg
",
529,Nidorina,30,Poison,Unknown,"['Poison Point', 'Rivalry', 'Hustle']",70,62,67,55,55,56,"2'07""
","0.8 m
","44.1 lbs.
","20.0 kg
"
530,Nidorino,33,Poison,Unknown,"['Poison Point', 'Rivalry', 'Hustle']",61,72,57,55,55,65,"2'11""
","0.9 m
","43.0 lbs.
","19.5 kg
"
531,Nihilego,793,Rock,Poison,['Beast Boost'],109,53,47,127,131,103,"3'11""
","1.2 m
","122.4 lbs.
","55.5 kg
"
532,Nincada,290,Bug,Ground,"['Compound Eyes', 'Run Away']",31,45,90,30,30,40,"1'08""
","0.5 m
","12.1 lbs.
","5.5 kg
"
533,Ninetales,38,Fire,Unknown,"['Flash Fire', 'Snow Cloak', 'Drought', 'Snow Warning']",73,76,75,81,100,100,"3'07""
","1.1 m
","43.9 lbs.
","19.9 kg
"
534,Ninjask,291,Bug,Flying,"['Speed Boost', 'Infiltrator']",61,90,45,50,50,160,"2'07""
","0.8 m
","26.5 lbs.
","12.0 kg
"
535,Noctowl,164,Normal,Flying,"['Insomnia', 'Keen Eye', 'Tinted Lens']",100,50,50,76,96,70,"5'03""
","1.6 m
","89.9 lbs.
","40.8 kg
"
536,Noibat,714,Flying,Dragon,"['Frisk', 'Infiltrator', 'Telepathy']",40,30,35,45,40,55,"1'08""
","0.5 m
","17.6 lbs.
","8.0 kg
"
537,Noivern,715,Flying,Dragon,"['Frisk', 'Infiltrator', 'Telepathy']",85,70,80,97,80,123,"4'11""
","1.5 m
","187.4 lbs.
","85.0 kg
"
538,Nosepass,299,Rock,Unknown,"['Sturdy', 'Magnet Pull', 'Sand Force']",30,45,135,45,90,30,"3'03""
","1.0 m
","213.8 lbs.
","97.0 kg
"
539,Numel,322,Fire,Ground,"['Oblivious', 'Simple', 'Own Tempo']",60,60,40,65,45,35,"2'04""
","0.7 m
","52.9 lbs.
","24.0 kg
"
540,Nuzleaf,274,Grass,Dark,"['Chlorophyll', 'Early Bird', 'Pickpocket']",70,70,40,60,40,60,"3'03""
","1.0 m
","61.7 lbs.
","28.0 kg
"
541,Obstagoon,862,Dark,Normal,"['Reckless', 'Guts', 'Defiant']",93,90,101,60,81,95,"5'03""
","1.6 m
","101.4 lbs.
","46.0 kg
"
542,Octillery,224,Water,Unknown,"['Suction Cups', 'Sniper', 'Moody']",75,105,75,105,75,45,"2'11""
","0.9 m
","62.8 lbs.
","28.5 kg
"
543,Oddish,43,Grass,Poison,"['Chlorophyll', 'Run Away']",45,50,55,75,65,30,"1'08""
","0.5 m
","11.9 lbs.
","5.4 kg
"
544,Omanyte,138,Rock,Water,"['Swift Swim', 'Shell Armor', 'Weak Armor']",35,40,100,90,55,35,"1'04""
","0.4 m
","16.5 lbs.
","7.5 kg
"
545,Omastar,139,Rock,Water,"['Swift Swim', 'Shell Armor', 'Weak Armor']",70,60,125,115,70,55,"3'03""
","1.0 m
","77.2 lbs.
","35.0 kg
"
546,Onix,95,Rock,Ground,"['Rock Head', 'Sturdy', 'Weak Armor']",35,45,160,30,45,70,"28'10""
","8.8 m
","463.0 lbs.
","210.0 kg
"
547,Oranguru,765,Normal,Psychic,"['Inner Focus', 'Telepathy', 'Symbiosis']",90,60,80,90,110,60,"4'11""
","1.5 m
","167.6 lbs.
","76.0 kg
"
548,Orbeetle,826,Bug,Psychic,"['Swarm', 'Frisk', 'Telepathy']",60,45,110,80,120,90,"1'04""
","0.4 m
","89.9 lbs.
","40.8 kg
"
549,Oricorio,741,Fire,Flying,['Dancer'],75,70,70,98,70,93,"2'00""
","0.6 m
","7.5 lbs.
","3.4 kg
"
550,Oshawott,501,Water,Unknown,"['Torrent', 'Shell Armor']",55,55,45,63,45,45,"1'08""
","0.5 m
","13.0 lbs.
","5.9 kg
"
551,Overqwil,904,Dark,Poison,"['Poison Point', 'Swift Swim', 'Intimidate']",85,115,95,65,65,85,"8'02""
","2.5 m
","133.4 lbs.
","60.5 kg
"
552,Pachirisu,417,Electric,Unknown,"['Run Away', 'Pickup', 'Volt Absorb']",60,45,70,45,90,95,"1'04""
","0.4 m
","8.6 lbs.
","3.9 kg
"
553,Palkia,484,Water,Dragon,"['Pressure', 'Telepathy']",90,120,100,150,120,100,"13'09""
","4.2 m
","740.8 lbs.
","336.0 kg
"
554,Palossand,770,Ghost,Ground,"['Water Compaction', 'Sand Veil']",85,75,110,100,75,35,"4'03""
","1.3 m
","551.2 lbs.
","250.0 kg
"
555,Palpitoad,536,Water,Ground,"['Swift Swim', 'Hydration', 'Water Absorb']",75,65,55,65,55,69,"2'07""
","0.8 m
","37.5 lbs.
","17.0 kg
"
556,Pancham,674,Fighting,Unknown,"['Iron Fist', 'Mold Breaker', 'Scrappy']",67,82,62,46,48,43,"2'00""
","0.6 m
","17.6 lbs.
","8.0 kg
"
557,Pangoro,675,Fighting,Dark,"['Iron Fist', 'Mold Breaker', 'Scrappy']",95,124,78,69,71,58,"6'11""
","2.1 m
","299.8 lbs.
","136.0 kg
"
558,Panpour,515,Water,Unknown,"['Gluttony', 'Torrent']",50,53,48,53,48,64,"2'00""
","0.6 m
","29.8 lbs.
","13.5 kg
"
559,Pansage,511,Grass,Unknown,"['Gluttony', 'Overgrow']",50,53,48,53,48,64,"2'00""
","0.6 m
","23.1 lbs.
","10.5 kg
"
560,Pansear,513,Fire,Unknown,"['Gluttony', 'Blaze']",50,53,48,53,48,64,"2'00""
","0.6 m
","24.3 lbs.
","11.0 kg
"
561,Paras,46,Bug,Grass,"['Effect Spore', 'Dry Skin', 'Damp']",35,70,55,45,55,25,"1'00""
","0.3 m
","11.9 lbs.
","5.4 kg
"
562,Parasect,47,Bug,Grass,"['Effect Spore', 'Dry Skin', 'Damp']",60,95,80,60,80,30,"3'03""
","1.0 m
","65.0 lbs.
","29.5 kg
"
563,Passimian,766,Fighting,Unknown,"['Receiver', 'Defiant']",100,120,90,40,60,80,"6'07""
","2.0 m
","182.5 lbs.
","82.8 kg
"
564,Patrat,504,Normal,Unknown,"['Run Away', 'Keen Eye', 'Analytic']",45,55,39,35,39,42,"1'08""
","0.5 m
","25.6 lbs.
","11.6 kg
"
565,Pawniard,624,Dark,Steel,"['Defiant', 'Inner Focus', 'Pressure']",45,85,70,40,40,60,"1'08""
","0.5 m
","22.5 lbs.
","10.2 kg
"
566,Pelipper,279,Water,Flying,"['Keen Eye', 'Drizzle', 'Gen VII+', 'Rain Dish']",60,50,100,85,70,65,"3'11""
","1.2 m
","61.7 lbs.
","28.0 kg
"
567,Perrserker,863,Steel,Unknown,"['Battle Armor', 'Tough Claws', 'Steely Spirit']",70,110,100,50,60,50,"2'07""
","0.8 m
","61.7 lbs.
","28.0 kg
"
568,Persian,53,Normal,Unknown,"['Limber', 'Technician', 'Fur Coat', 'Technician', 'Unnerve', 'Rattled']",65,70,60,65,65,115,"3'03""
","1.0 m
","70.5 lbs.
","32.0 kg
"
569,Petilil,548,Grass,Unknown,"['Chlorophyll', 'Own Tempo', 'Leaf Guard']",45,35,50,70,50,30,"1'08""
","0.5 m
","14.6 lbs.
","6.6 kg
"
570,Phanpy,231,Ground,Unknown,"['Pickup', 'Sand Veil']",90,60,60,40,40,40,"1'08""
","0.5 m
","73.9 lbs.
","33.5 kg
"
571,Phantump,708,Ghost,Grass,"['Natural Cure', 'Frisk', 'Harvest']",43,70,48,50,60,38,"1'04""
","0.4 m
","15.4 lbs.
","7.0 kg
"
572,Pheromosa,795,Bug,Fighting,['Beast Boost'],71,137,37,137,37,151,"5'11""
","1.8 m
","55.1 lbs.
","25.0 kg
"
573,Phione,489,Water,Unknown,['Hydration'],80,80,80,80,80,80,"1'04""
","0.4 m
","6.8 lbs.
","3.1 kg
"
574,Pichu,172,Electric,Unknown,"['Static', 'Lightning Rod']",20,40,15,35,35,60,"1'00""
","0.3 m
","4.4 lbs.
","2.0 kg
"
575,Pidgeot,18,Normal,Flying,"['Keen Eye', 'Tangled Feet', 'Big Pecks', 'No Guard']",83,80,75,70,70,91,"4'11""
","1.5 m
","87.1 lbs.
","39.5 kg
"
576,Pidgeotto,17,Normal,Flying,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",63,60,55,50,50,71,"3'07""
","1.1 m
","66.1 lbs.
","30.0 kg
"
577,Pidgey,16,Normal,Flying,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",40,45,40,35,35,56,"1'00""
","0.3 m
","4.0 lbs.
","1.8 kg
"
578,Pidove,519,Normal,Flying,"['Big Pecks', 'Super Luck', 'Rivalry']",50,55,50,36,30,43,"1'00""
","0.3 m
","4.6 lbs.
","2.1 kg
"
579,Pignite,499,Fire,Fighting,"['Blaze', 'Thick Fat']",90,93,55,70,55,55,"3'03""
","1.0 m
","122.4 lbs.
","55.5 kg
"
580,Pikachu,25,Electric,Unknown,"['Static', 'Lightning Rod', 'Lightning Rod']",35,55,30,50,40,90,"1'04""
","0.4 m
","13.2 lbs.
","6.0 kg
"
581,Pikipek,731,Normal,Flying,"['Keen Eye', 'Skill Link', 'Pickup']",35,75,30,30,30,65,"1'00""
","0.3 m
","2.6 lbs.
","1.2 kg
"
582,Piloswine,221,Ice,Ground,"['Oblivious', 'Snow Cloak', 'Thick Fat']",100,100,80,60,60,50,"3'07""
","1.1 m
","123.0 lbs.
","55.8 kg
"
583,Pincurchin,871,Electric,Unknown,"['Lightning Rod', 'Electric Surge']",48,101,95,91,85,15,"1'00""
","0.3 m
","2.2 lbs.
","1.0 kg
"
584,Pineco,204,Bug,Unknown,"['Sturdy', 'Overcoat']",50,65,90,35,35,15,"2'00""
","0.6 m
","15.9 lbs.
","7.2 kg
"
585,Pinsir,127,Bug,Unknown,"['Hyper Cutter', 'Mold Breaker', 'Moxie', 'Aerilate']",65,125,100,55,70,85,"4'11""
","1.5 m
","121.3 lbs.
","55.0 kg
"
586,Piplup,393,Water,Unknown,"['Torrent', 'Defiant']",53,51,53,61,56,40,"1'04""
","0.4 m
","11.5 lbs.
","5.2 kg
"
587,Plusle,311,Electric,Unknown,"['Plus', 'Lightning Rod']",60,50,40,85,75,95,"1'04""
","0.4 m
","9.3 lbs.
","4.2 kg
"
588,Poipole,803,Poison,Unknown,['Beast Boost'],67,73,67,73,67,73,"2'00""
","0.6 m
","4.0 lbs.
","1.8 kg
"
589,Politoed,186,Water,Unknown,"['Water Absorb', 'Damp', 'Drizzle']",90,75,75,90,100,70,"3'07""
","1.1 m
","74.7 lbs.
","33.9 kg
"
590,Poliwag,60,Water,Unknown,"['Water Absorb', 'Damp', 'Swift Swim']",40,50,40,40,40,90,"2'00""
","0.6 m
","27.3 lbs.
","12.4 kg
"
591,Poliwhirl,61,Water,Unknown,"['Water Absorb', 'Damp', 'Swift Swim']",65,65,65,50,50,90,"3'03""
","1.0 m
","44.1 lbs.
","20.0 kg
"
592,Poliwrath,62,Water,Fighting,"['Water Absorb', 'Damp', 'Swift Swim']",90,85,95,70,90,70,"4'03""
","1.3 m
","119.0 lbs.
","54.0 kg
"
593,Polteageist,855,Ghost,Unknown,"['Weak Armor', 'Cursed Body']",60,65,65,134,114,70,"0'08""
","0.2 m
","0.9 lbs.
","0.4 kg
"
594,Ponyta,77,Fire,Unknown,"['Run Away', 'Flash Fire', 'Run Away', 'Pastel Veil', 'Flame Body', 'Anticipation']",50,85,55,65,65,90,"3'03""
","1.0 m
","66.1 lbs.
","30.0 kg
"
595,Poochyena,261,Dark,Unknown,"['Run Away', 'Quick Feet', 'Rattled']",35,55,35,30,30,35,"1'08""
","0.5 m
","30.0 lbs.
","13.6 kg
"
596,Popplio,728,Water,Unknown,"['Torrent', 'Liquid Voice']",50,54,54,66,56,40,"1'04""
","0.4 m
","16.5 lbs.
","7.5 kg
"
597,Porygon,137,Normal,Unknown,"['Trace', 'Download', 'Analytic']",65,60,70,85,75,40,2??7??,"0.8 m
","80.5 lbs.
","36.5 kg
"
598,Porygon-Z,474,Normal,Unknown,"['Adaptability', 'Download', 'Analytic']",85,80,70,135,75,90,"2'11""
","0.9 m
","75.0 lbs.
","34.0 kg
"
599,Porygon2,233,Normal,Unknown,"['Trace', 'Download', 'Analytic']",85,80,90,105,95,60,2??0??,"0.6 m
","71.7 lbs.
","32.5 kg
"
600,Primarina,730,Water,Fairy,"['Torrent', 'Liquid Voice']",80,74,74,126,116,60,"5'11""
","1.8 m
","97.0 lbs.
","44.0 kg
"
601,Primeape,57,Fighting,Unknown,"['Vital Spirit', 'Anger Point', 'Defiant']",65,105,60,60,70,95,"3'03""
","1.0 m
","70.5 lbs.
","32.0 kg
"
602,Prinplup,394,Water,Unknown,"['Torrent', 'Defiant']",64,66,68,81,76,50,"2'07""
","0.8 m
","50.7 lbs.
","23.0 kg
"
603,Probopass,476,Rock,Steel,"['Sturdy', 'Magnet Pull', 'Sand Force']",60,55,145,75,150,40,"4'07""
","1.4 m
","749.6 lbs.
","340.0 kg
"
604,Psyduck,54,Water,Unknown,"['Damp', 'Cloud Nine', 'Swift Swim']",50,52,48,65,50,55,"2'07""
","0.8 m
","43.2 lbs.
","19.6 kg
"
605,Pumpkaboo,710,Ghost,Grass,"['Pickup', 'Frisk', 'Insomnia']",44,66,70,44,55,56,"1'00""
","0.3 m
","7.7 lbs.
","3.5 kg
"
606,Pupitar,247,Rock,Ground,['Shed Skin'],70,84,70,65,70,51,3'11??,"1.2 m
","335.1 lbs.
","152.0 kg
"
607,Purrloin,509,Dark,Unknown,"['Limber', 'Unburden', 'Prankster']",41,50,37,50,37,66,"1'04""
","0.4 m
","22.3 lbs.
","10.1 kg
"
608,Purugly,432,Normal,Unknown,"['Thick Fat', 'Own Tempo', 'Defiant']",71,82,64,64,59,112,"3'03""
","1.0 m
","96.6 lbs.
","43.8 kg
"
609,Pyroar,668,Fire,Normal,"['Rivalry', 'Unnerve', 'Moxie']",86,68,72,109,66,106,"4'11""
","1.5 m
","179.7 lbs.
","81.5 kg
"
610,Pyukumuku,771,Water,Unknown,"['Innards Out', 'Unaware']",55,60,130,30,130,5,"1'00""
","0.3 m
","2.6 lbs.
","1.2 kg
"
611,Quagsire,195,Water,Ground,"['Damp', 'Water Absorb', 'Unaware']",95,85,85,65,65,35,"4'07""
","1.4 m
","165.3 lbs.
","75.0 kg
"
612,Quilava,156,Fire,Unknown,"['Blaze', 'Flash Fire']",58,64,58,80,65,80,"2'11""
","0.9 m
","41.9 lbs.
","19.0 kg
"
613,Quilladin,651,Grass,Unknown,"['Overgrow', 'Bulletproof']",61,78,95,56,58,57,"2'04""
","0.7 m
","63.9 lbs.
","29.0 kg
"
614,Qwilfish,211,Water,Poison,"['Poison Point', 'Swift Swim', 'Intimidate']",65,95,75,55,55,85,1'08??,"0.5 m
","8.6 lbs.
","3.9 kg
"
615,Raboot,814,Fire,Unknown,"['Blaze', 'Libero']",65,86,60,55,60,94,"2'00""
","0.6 m
","19.8 lbs.
","9.0 kg
"
616,Raichu,26,Electric,Unknown,"['Static', 'Surge Surfer', 'Lightning Rod']",60,90,55,90,80,100,"2'07""
","0.8 m
","66.1 lbs.
","30.0 kg
"
617,Raikou,243,Electric,Unknown,"['Pressure', 'Inner Focus']",90,85,75,115,100,115,"6'03""
","1.9 m
","392.4 lbs.
","178.0 kg
"
618,Ralts,280,Psychic,Fairy,"['Synchronize', 'Trace', 'Telepathy']",28,25,25,45,35,40,"1'04""
","0.4 m
","14.6 lbs.
","6.6 kg
"
619,Rampardos,409,Rock,Unknown,"['Mold Breaker', 'Sheer Force']",97,165,60,65,50,58,"5'03""
","1.6 m
","226.0 lbs.
","102.5 kg
"
620,Rapidash,78,Fire,Unknown,"['Run Away', 'Flash Fire', 'Run Away', 'Pastel Veil', 'Flame Body', 'Anticipation']",65,100,70,80,80,105,"5'07""
","1.7 m
","209.4 lbs.
","95.0 kg
"
621,Raticate,20,Normal,Unknown,"['Run Away', 'Guts', 'Gluttony', 'Hustle', 'Hustle', 'Thick Fat']",55,81,60,50,70,97,"2'04""
","0.7 m
","40.8 lbs.
","18.5 kg
"
622,Rattata,19,Normal,Unknown,"['Run Away', 'Guts', 'Gluttony', 'Hustle', 'Hustle', 'Thick Fat']",30,56,35,25,35,72,"1'00""
","0.3 m
","7.7 lbs.
","3.5 kg
"
623,Rayquaza,384,Dragon,Flying,"['Air Lock', 'Delta Stream']",105,150,90,150,90,95,"23'00""
","7.0 m
","455.3 lbs.
","206.5 kg
"
624,Regice,378,Ice,Unknown,"['Clear Body', 'Ice Body']",80,50,100,100,200,50,"5'11""
","1.8 m
","385.8 lbs.
","175.0 kg
"
625,Regidrago,895,Dragon,Unknown,"[""Dragon's Maw""]",200,100,50,100,50,80,"6'11""
","2.1 m
","440.9 lbs.
","200.0 kg
"
626,Regieleki,894,Electric,Unknown,['Transistor'],80,100,50,100,50,200,"3'11""
","1.2 m
","319.7 lbs.
","145.0 kg
"
627,Regigigas,486,Normal,Unknown,['Slow Start'],110,160,110,80,110,100,"12'02""
","3.7 m
","925.9 lbs.
","420.0 kg
"
628,Regirock,377,Rock,Unknown,"['Clear Body', 'Sturdy']",80,100,200,50,100,50,"5'07""
","1.7 m
","507.1 lbs.
","230.0 kg
"
629,Registeel,379,Steel,Unknown,"['Clear Body', 'Light Metal']",80,75,150,75,150,50,"6'03""
","1.9 m
","451.9 lbs.
","205.0 kg
"
630,Relicanth,369,Water,Rock,"['Swift Swim', 'Rock Head', 'Sturdy']",100,90,130,45,65,55,"3'03""
","1.0 m
","51.6 lbs.
","23.4 kg
"
631,Remoraid,223,Water,Unknown,"['Hustle', 'Sniper', 'Moody']",35,65,35,65,35,65,"2'00""
","0.6 m
","26.5 lbs.
","12.0 kg
"
632,Reshiram,643,Dragon,Fire,['Turboblaze'],100,120,100,150,120,90,"10'06""
","3.2 m
","727.5 lbs.
","330.0 kg
"
633,Reuniclus,579,Psychic,Unknown,"['Overcoat', 'Magic Guard', 'Regenerator']",110,65,75,125,85,30,"3'03""
","1.0 m
","44.3 lbs.
","20.1 kg
"
634,Rhydon,112,Ground,Rock,"['Lightning Rod', 'Rock Head', 'Reckless']",105,130,120,45,45,40,"6'03""
","1.9 m
","264.6 lbs.
","120.0 kg
"
635,Rhyhorn,111,Ground,Rock,"['Lightning Rod', 'Rock Head', 'Reckless']",80,85,95,30,30,25,"3'03""
","1.0 m
","253.5 lbs.
","115.0 kg
"
636,Rhyperior,464,Ground,Rock,"['Lightning Rod', 'Solid Rock', 'Reckless']",115,140,130,55,55,40,"7'10""
","2.4 m
","623.5 lbs.
","282.8 kg
"
637,Ribombee,743,Bug,Fairy,"['Honey Gather', 'Shield Dust', 'Sweet Veil']",60,55,60,95,70,124,"0'08""
","0.2 m
","1.1 lbs.
","0.5 kg
"
638,Rillaboom,812,Grass,Unknown,"['Overgrow', 'Grassy Surge']",100,125,90,60,70,85,"6'11""
","2.1 m
","198.4 lbs.
","90.0 kg
"
639,Riolu,447,Fighting,Unknown,"['Steadfast', 'Inner Focus', 'Prankster']",40,70,40,35,40,60,"2'04""
","0.7 m
","44.5 lbs.
","20.2 kg
"
640,Rockruff,744,Rock,Unknown,"['Keen Eye', 'Vital Spirit', 'Own Tempo', 'Steadfast']",45,65,40,30,40,60,"1'08""
","0.5 m
","20.3 lbs.
","9.2 kg
"
641,Roggenrola,524,Rock,Unknown,"['Sturdy', 'Weak Armor', 'Gen VII+', 'Sand Force']",55,75,85,25,25,15,"1'04""
","0.4 m
","39.7 lbs.
","18.0 kg
"
642,Rolycoly,837,Rock,Unknown,"['Steam Engine', 'Heatproof', 'Flash Fire']",30,40,50,40,50,30,"1'00""
","0.3 m
","26.5 lbs.
","12.0 kg
"
643,Rookidee,821,Flying,Unknown,"['Keen Eye', 'Unnerve', 'Big Pecks']",38,47,35,33,35,57,"0'08""
","0.2 m
","4.0 lbs.
","1.8 kg
"
644,Roselia,315,Grass,Poison,"['Natural Cure', 'Poison Point', 'Leaf Guard']",50,60,45,100,80,65,"1'00""
","0.3 m
","4.4 lbs.
","2.0 kg
"
645,Roserade,407,Grass,Poison,"['Natural Cure', 'Poison Point', 'Technician']",60,70,55,125,105,90,"2'11""
","0.9 m
","32.0 lbs.
","14.5 kg
"
646,Rotom,479,Electric,Ghost,['Levitate'],50,50,77,95,77,91,"1'00""
","0.3 m
","0.7 lbs.
","0.3 kg
"
647,Rowlet,722,Grass,Flying,"['Overgrow', 'Long Reach']",68,55,55,50,50,42,"1'00""
","0.3 m
","3.3 lbs.
","1.5 kg
"
